Kennzeichen,Beispiel
BA,Erkennungsobjekt für elektrisches Potential
BA,Objekt zur Erkennung von elektrischem Potential
BA,Kopplungskondensator
BA,Messspannungsrelais
BA,Spannungswandler für Messzwecke
BA,Spannungsrelais
BA,Spannungswandler
BB,Erkennungsobjekt für Widerstand oder Leitfähigkeit
BB,Objekt zur Erkennung von Widerstand
BB,Detektor für elektrischen Widerstand
BB,Sensor für elektrischen Widerstand
BB,Detektor für thermischen Widerstand
BC,Erkennungsobjekt für elektrischen Strom
BC,Objekt zur Erkennung von elektrischem Strom
BC,elektronisches Überlastrelais
BC,Messstromrelais
BC,Stromwandler für Messzwecke
BC,Überlastrelais
BD,Erkennungsobjekt für Dichte
BD,Dichteerkennungsobjekt
BD,Senkwage
BD,Dichtesensor
BD,Dichteschalter
BD,Dichtewandler
BD,Hydrometer
BE,Erkennungsobjekt für Spannungsfeld
BE,Spannungsfelderkennungsobjekt
BE,Spannungsfelddetektor
BE,Spannungsfeldsensor
BE,Magnetfelddetektor
BE,Magnetfeldsensor
BE,Reedrelais
BE,Reedschalter
BF,Erkennungsobjekt für Durchfluss
BF,Durchflusserkennungsobjekt
BF,Durchflusssensor
BF,Durchflussschalter
BF,Durchflussmesswertgeber
BF,Gasflusssensor
BF,Gasflussschalter
BF,Flüssigkeitsflusssensor
BF,Stoffflusssensor
BF,Feststoffflussschalter
BF,Wasserflusssensor
BG,Erkennungsobjekt für räumliche Dimension und Position
BG,Objekt zur Erkennung von physikalischen Dimensionen
BG,2D Scanner
BG,3D Scanner
BG,Ausrichtungssensor
BG,Ausrichtungsschwellendetektor
BG,Winkelschalter
BG,Winkelmesswertgeber
BG,Koordinatenscanner
BG,Distanzschalter
BG,Distanzmesswertgeber
BG,Endstopp
BG,Laserabstandserkennungsschalter
BG,Laserabstandssensor
BG,Laserscanner
BG,Bewegungsdetektor
BG,Bewegungssensor PIR
BG,Objektscanner
BG,Positionssensor
BG,Positionsschalter
BG,Positionsmesswertgeber
BG,Anwesenheitsanzeige
BG,Anwesenheitserkennung
BG,Radar
BG,Drehgeber
BG,Sichtbarkeitssensor
BG,Windrichtungsanzeige
BG,Windrichtungssensor
BH,Erkennungsobjekt für Energie
BH,Energieerkennungsobjekt
BH,Kondensatsensor
BH,Stromflussmesswertgeber
BH,Kühlungsenergiemessgerät
BH,Energiezähler
BH,Energiesensor
BH,Strömungsenergiezähler
BH,Gasenergiezähler
BH,Kwh Zähler
BH,Wärmeenergiezähler
BJ,Erkennungsobjekt für Leistung
BJ,Leistungserkennungsobjekt
BJ,KWZ ähler
BJ,Leistungsbegrenzungsschalter
BJ,Leistungszähler
BK,Erkennungsobjekt für Zeit
BK,Zeiterkennungsobjekt
BK,Uhr
BK,Zeitzähler
BK,Zeitinformationsgerät
BK,Zeitmessgerät
BK,Zeitschalter
BL,Erkennungsobjekt für Füllstand
BL,Füllstandserkennungsobjekt
BL,Füllstandssensor
BL,Füllstandsschalter
BL,Füllstandsmesswertgeber
BL,Flüssigkeitsstandssensor
BL,Flüssigkeitsstandsschalter
BM,Erkennungsobjekt für Feuchte
BM,Feuchteerkennungsobjekt
BM,Feuchtesensor
BM,Feuchteschalter
BM,Feuchtemesswertgeber
BP,Erkennungsobjekt für Druck
BP,Druckerkennungsobjekt
BP,Absolutdrucksensor
BP,Absolutdruckschalter
BP,Absolutdruckmesswertgeber
BP,Differenzialdrucksensor
BP,Differenzialdruckschalter
BP,Differenzialdruckmesswertgeber
BP,Manometer
BP,Druckwächter
BP,Drucksensor
BP,Druckschalter
BP,Druckaufnehmer
BP,Relativdruckdetektor
BP,Relativdrucksensor
BP,Relativdrucksensor
BQ,Erkennungsobjekt für Substanzkonzentration
BQ,Konzentrationserkennungsobjekt
BQ,CO Konzentrationssensor
BQ,CO2 Konzentrationssensor
BQ,Konzentrationssensor
BQ,Konzentrationserkennungsschalter
BQ,Nebeldetektor
BQ,Nebelsensor
BQ,Gaskonzentrationsdetektor
BQ,Gaskonzentrationsmessgerät
BQ,Flüssigkeitskonzentrationsdetektor
BQ,Flüssigkeitskonzentrationsmessgerät
BQ,NH3 Konzentrationssensor
BQ,Benzinkonzentrationssensor
BQ,Rauchdetektor
BQ,Rauchsensor
BQ,Rauchschalter
BQ,Feststoffkonzentrationsdetektor
BQ,Feststoffkonzentrationsmessgerät
BQ,Trübedetektor
BQ,Trübesensor
BQ,Sichtbarkeitsdetektor
BQ,Sichtbarkeitssensor
BR,Erkennungsobjekt für Strahlung
BR,Strahlungserkennungsobjekt
BR,Elektromagnetwellendetektor
BR,Messgerät für elektromagnetische Wellen
BR,Geigerzähler
BR,Gammastrahlungsdetektor
BR,Irsensor
BR,Lichtschranke
BR,Lichtdetektor
BR,Lichtmessgerät
BR,Lichtsender
BR,Leitungsdetektor
BR,Dämmerungsschalte
BR,r LuxSensor
BR,Fotozelle
BR,Radarsensor
BR,Strahlungsmessgerät
BR,Strahlungsdetektor
BR,Uvsensor
BS,Erkennungsobjekt für Zeitbereich
BS,Zeitbereicherkennungsobjekt
BS,Beschleunigungsaufnehmer Relais
BS,Beschleunigungsmesswertgeber
BS,Taktraten Erkennungsschalter
BS,Taktratensensor
BS,Taktratenmesswertgeber
BS,Frequenzmesswertgeber
BS,Bewegungsdetektor
BS,Bewegungsmesswertgeber
BS,Drehgeschwindigkeitsrelais
BS,Drehgeschwindigkeitssensor
BS,seismischer Sensor
BS,seismischer Schalter
BS,Vibrationsschalter
BS,Geschwindigkeitserkennungsschalter
BS,Geschwindigkeitsmesswertgeber
BS,Geschwindigkeitssensor
BS,Drehzahlmessgerät
BT,Erkennungsobjekt für Temperatur
BT,Temperaturerkennungsobjekt
BT,Temperaturdetektor
BT,Temperatursensor
BT,Temperaturschalter
BT,Temperaturmesswertgeber
BU,Erkennungsobjekt für mehrere Mengen
BU,Mehrfacherkennungsobjekt
BU,Buchholz Relais
BU,Distanzschutzrelais
BU,Impedanzschutzrelais
BU,Mehrfachdetektor
BU,Mehrfachmesssensor
BU,Mehrfachsensorschalter
BU,Gegenphasenfolgerelais
BW,"Erkennungsobjekt für Gewicht, Kraft oder Drehmoment"
BW,Krafterkennungsobjekt
BW,Krafterkennungsschalter
BW,Kraftsensor
BW,Kraftmesswertgeber
BW,Lastzelle
BW,Drehmomentsensor
BW,Drehmomentschalter
BW,Drehmomentmesswertgeber
BW,Gewichtserkennungsschalter
BW,Gewichtssensor
BW,Gewichtsmesswertgebersender
BX,Erkennungsobjekt für Ton und äußeres Erscheinen
BX,Audiovisuelles Erkennungsobjekt
BX,Alarmmikrofon
BX,Akustikdetektor
BX,Akustiksensor
BX,Akustiküberwachungsgerät
BX,Kamera
BX,Cctv
BX,Gesichtserkennungsgerät
BX,Fingerabdruckleser
BX,Glasbruchsensor
BX,Bildgeber
BX,Bilderkennungsgerät
BX,Iris Scanner
BX,Mikrofon
BX,Profilkontrolle
BX,PTZ Kamera
BX,Scanner
BX,Videokamera
BY,Erkennungsobjekt für gespeicherte Informationen
BY,Informationserkennungsobjekt
BY,Barcodelesegerät
BY,Chipkartenlesegerät
BY,Chiplesegerät
BY,elektromagnetisches Lesegerät
BY,Magnetstreifenlesegerät
BY,Lesegerät für optische Platten
BY,optisches Lesegerät
BY,Rfclesegerät
BY,Rfidlesegerät
BY,Qrlesegerät
BY,Lochstreifenlesegerät
BZ,Erkennungsobjekt für Ereignisse bzw. Mengen
BZ,Ereigniserkennungsobjekt
BZ,Zähler
BZ,Stoffdetektor
BZ,Personendetektor
BZ,Präsenzdetektor
BZ,Übergangszähler
CA,Speicherobjekt für elektrische Energie innerhalb eines elektrostatischen Felds
CA,Kapazitives Speicherobjekt
CA,Kondensator
CB,Speicherobjekt für elektrische Energie innerhalb eines elektromagnetischen Felds
CB,Induktives Speicherobjekt
CB,Drosselspule
CC,Speicherobjekt für elektrische Energie innerhalb eines elektrochemischen Stoffes
CC,Elektrochemisches Speicherobjekt
CC,Wiederaufladbare Batterie
CF,Speicherobjekt für Informationen
CF,Informationsspeicherobjekt
CF,Informationsspeichermedien
CF,Sitz
CL,Speicherobjekt für Stoffe oder Personen innerhalb einer stationären offenen Umschließung
CL,Offenes stationäres Speicherobjekt
CL,Bett
CL,Bunker
CL,Stuhl
CL,Zisterne
CL,Sofa
CL,Schacht
CL,Becken
CL,Ablagefach
CM,Speicherobjekt für Stoffe innerhalb einer stationären geschlossenen Umschließung
CM,Geschlossenes stationäres Speicherobjekt
CM,Behälter
CM,Gehäuse
CM,Schrank
CM,Tank
CN,Speicherobjekt für Stoffe oder Personen innerhalb einer beweglichen geschlossenen Umschließung
CN,Bewegliches Speicherobjekt
CN,Container
CN,Trommel
CN,Becherhebeanlage
CN,Baggerladeschaufel
CN,Gasflasche
CN,Aufzugskabine
CP,Speicherobjekt für Wärmeenergie
CP,Wärmeenergie Speicherobjekt
CP,Wassererwärmer
CP,kristalliner Behälter
CP,Gasbehälter
CP,Flüssigkeitsbehälter
CP,Stoffbehälter
CQ,Speicherobjekt für mechanische Energie
CQ,Speicherobjekt für mechanische Energie
CQ,Gegengewicht
CQ,angehobene Masse
